index,language,lable
225,palgonevadu. jun  ,telugu
226,kanti tanatu am ,tamil
227,sin dheani allenkil ,malayalam
228,15 rinda 30 ,kannada
229,sparsh hum bangalore ,hindi
230,in a trap ,english
231,lo  sanvatsarala ,telugu
232,vayatil tam vayateyana ,tamil
233,emesdheani about this ,malayalam
234,nimisagala taragatigalannu niduttade ,kannada
235,select rahe ethic ,hindi
236,and this gave ,english
237,vayasulo mumbailoni bandraloni ,telugu
238,kasturipayai manantar. pinnalil ,tamil
239,soundpronunciation help·info hindi ,malayalam
240,andare nivu ellindaladaru ,kannada
241,bharat ka premium ,hindi
242,a sharp pain ,english
243,tana intlo raj‌put ,telugu
244,iruvarum nanku an ,tamil
245,mahendra sinha dhoni ,malayalam
246,uttama siksakarondige elli ,kannada
247,non leather brand ,hindi
248,in his rear ,english
249,atmahatya cesukunnadu. raj‌put ,telugu
250,makankalaip perretuttanar: harilal ,tamil
251,jananam  julai ,malayalam
252,bekadaru abhyasa madabahudu ,kannada
253,jobat mein revolution ,hindi
254,ohh that's not ,english
255,patnalo krsna kumar ,telugu
256, manilal  ,tamil
257, ranci jarkhad ,malayalam
258,iga kamli aplikesan ,kannada
259,lara hey high ,hindi
260,so much oh ,english
261,sing usa sing ,telugu
262,ramtas  tevatas ,tamil
263,oru intyan krikkarrarum‍ ,malayalam
264,annu daun‌lod madi ,kannada
265,quality non leather ,hindi
266,my name is ,english
267,dampatulaku janmincaru. atani ,telugu
268,. mokanatas karamcant ,tamil
269,intyan krikkarr timinre ,malayalam
270,mattu niyamitavagi abhyasa ,kannada
271,products science technology ,hindi
272,stuck in a ,english
273,purvikula nivasam bihar‌loni ,telugu
274,kanti tanatu vatu ,tamil
275,mun kyaprranuman‌ dheaniyute ,malayalam
276,madalu prarambhisi nirdesakara ,kannada
277,or innovation ki ,hindi
278,trap what would ,english
279,purniya jillalo undi. ,telugu
280,vayatil tantaiyai ilantar ,tamil
281,kilil ‍intyan tim ,malayalam
282,jote kelasa madoke ,kannada
283,madad se labh ,hindi
284,i do now ,english
285,atani sodarimanulalo okaru ,telugu
286,ilamai vayatil kantiyatikal ,tamil
287,tvanri  leakakapp ,malayalam
288,agalla avarige istavilla ,kannada
289,mein kuch aise ,hindi
290,after battling for ,english
291,mitu sing rastra ,telugu
292,vayatu   ,tamil
293,kiritam neti  ,malayalam
294,anta ranabir kapur ,kannada
295,fabrics ijjat ke ,hindi
296,long with his ,english
297,sthayi kriketar.  ,telugu
298,pallippatippil oru cumarana ,tamil
299,phebruvarimarcc masannalilayi astreliyayil ,malayalam
300,helidru nanu nanna ,kannada
301,gaane jo dekhe ,hindi
302,daily and the ,english
303,lo atani talli ,telugu
304,manavanakave kanappattar kanti.anatu ,tamil
305,natanna sibi siris ,malayalam
306,dairektar jote lav ,kannada
307,aur feel karne ,hindi
308,trap he gave ,english
309,maranincaru. ade sanvatsaranlo ,telugu
310,am vayatil pallippatippu ,tamil
311,trirastra krikkarr turnamenril ,malayalam
312,madbeku anta khatri ,kannada
313,main hoon na ,hindi
314,final try to ,english
315,raj‌put kutumbam patna ,telugu
316,mutinta piraku paristar ,tamil
317,dheaniyute netrtvattilulla intyan ,malayalam
318,nivu yavude natanige ,kannada
319,ghar ki tarah ,hindi
320,it and with ,english
321,nundi dhilli vellindi. ,telugu
322,barrister enappatum valakkurainar ,tamil
323,krikkarr tim asteliyaye ,malayalam
324,nanna prakara nirdesakaru ,kannada
325,ke aise hi ,hindi
326,that game another ,english
327,raj‌put patna loni ,telugu
328,patippirkaka kanti inkilantu ,tamil
329,tealpicc jetakkalayi dheaniyute ,malayalam
330,hadagina kyaptan agiruvudarinda ,kannada
331,kuch cruelty free ,hindi
332,snapping voice tears ,english
333,seyint karens hai ,telugu
334,cenrar. tan patippai ,tamil
335,netrtvattilan intya  ,malayalam
336,nivu nirdesakarondige samparka ,kannada
337,fabrics se banate ,hindi
338,coming out of ,english
339,skullo nyu dhilli ,telugu
340,verrikaramaka mutittu tayakam ,tamil
341,varsattin sesam l ,malayalam
342,hondabeku endu nimage ,kannada
343,hai ethic ke ,hindi
344,his eyes the ,english
345,loni kulaci hansaraj ,telugu
346,tirumpiya kanti pampayil ,tamil
347,leakakapp kiritam netiyat ,malayalam
348,tilidide mattu nivu ,kannada
349,peta approved vegan ,hindi
350,fox moon oh ,english
351,modal skul lo ,telugu
352,ciritu kalam valakkurainaraka ,tamil
353, ransan phainalil ,malayalam
354,nirdesakarondige samparka hondilladiddare ,kannada
355,products do hazaar ,hindi
356,my tell my ,english
357,caduvukunnadu. atani prakaram ,telugu
358,paniyarrinar. itu verrikaramaka ,tamil
359,dheaniyute nettam iteate ,malayalam
360,nanu phon annu ,kannada
361,baarah shuru kiya ,hindi
362,team i lost ,english
363,disii entrans pariksalo ,telugu
364,amaiyatatal tan annan ,tamil
365,ekadina leakakappum tvanri ,malayalam
366,bidabahudu endu nanu ,kannada
367,gaya hamara brand ,hindi
368,my car i ,english
369,edava ryanku sadhincadantopatu ,telugu
370,iruppitamana rajkottirku cenra ,tamil
371, leakakappum erruvanniya ,malayalam
372,bhavisuvudilla ii madabahudu ,kannada
373,men's fashion industry ,hindi
374,beautiful day what ,english
375,ade kalasalalo bacilar ,telugu
376,kanti ankeyulla nitimanrattil ,tamil
377,oreyearu kyaprran enna ,malayalam
378,nivu adannu madalu ,kannada
379,me leadership chamakam ,hindi
380,would i do ,english
381,aph injaniring mekanikal ,telugu
382,valakkata varupavarkalin pativankalai ,tamil
383,padavi dheani svantamakki ,malayalam
384,"sadhyavilla, nanu adannu ",kannada
385,hasil karna chahta ,hindi
386,now i'll become ,english
387,injaniring kors tisukunnadu. ,telugu
388,nirappum eliya paniyil ,tamil
389, le haidarabad ,malayalam
390,madalare endu avaru ,kannada
391,is rapper hum ,hindi
392,laughingstock of my ,english
393,atanu thiyetar nrtyalalo ,telugu
394,itupattar. anal ankirunta ,tamil
395,tesrril osisine tealppiccateate ,malayalam
396,"helidaru, calanacitravu kettadagi ",kannada
397,already kadam rakhe ,hindi
398,scalp now this ,english
399,palgonadam prarambhincina taruvata ,telugu
400,ankileya atikariyitam erpatta ,tamil
401,erravum kututal tesrr ,malayalam
402,hoguttiruvaga adu nim'ma ,kannada
403,sharks hum raas ,hindi
404,is soon bara ,english
405,cala aruduga adhyayanalaku ,telugu
406,ciriya takararal ivvelaiyum ,tamil
407,krikkarr vijayannal karasthamakkiya ,malayalam
408,mulegalallide endu aneka ,kannada
409,karna chahte pandrah ,hindi
410,singh and he ,english
411,samayam ketayincagaligadu. dini ,telugu
412,pariponatu. iccamayattil iccamayam ,tamil
413,intyan kyaprran enna ,malayalam
414,nataru nanage helidaru ,kannada
415,lakh rupay hamaaree ,hindi
416,walked deeper into ,english
417,phalitanga aneka byak‌lag‌lu ,telugu
418,tennappirikkavil ankileyar atciyil ,tamil
419,bahumati neti sarav ,malayalam
420,"haudu, nivu adannu ",kannada
421,company me stake ,hindi
422,the forest with ,english
423,vacci civariki atanni ,telugu
424,niraveriyum inappakupatum mikuntu ,tamil
425,ganguliyute rekkeard pintalli ,malayalam
426,helidaga adu nimage ,kannada
427,kalyan yeah plant ,hindi
428,his head bowed ,english
429,disii nundi velipovalsina ,telugu
430,iruntatu. ituvarai araciyal ,tamil
431, tesrrilan dheani ,malayalam
432,tilidideye? citrada saktiya ,kannada
433,based materials plant ,hindi
434,down in sorrow ,english
435,paristhiti vaccindi. natana ,telugu
436,itupatillatu tannaiyum tan ,tamil
437,kyaprranayulla intyan tim ,malayalam
438,citradalli 156 dinagaligom'me ,kannada
439,based matlab plant ,hindi
440,when suddenly an ,english
441,vrttini konasagincadaniki mundu ,telugu
442,kutumpattaiyum mattume kavanittu ,tamil
443,vijayiccat  l ,malayalam
444,adu nimage tilidide ,kannada
445,cellulose products craftsmanship ,hindi
446,idea struck his ,english
447,nalugella injaniring korsulo ,telugu
448,vanta ilainarayiruntar kanti. ,tamil
449,intyan gavanmenr dheaniye ,malayalam
450,adare adu 56 ,kannada
451,is very good ,hindi
452,mind he decided ,english
453,mudellu matrame purti ,telugu
454,tennappirikkavil avarukkerpatta anupavankal ,tamil
455,patamabhusan nalki adariccusevan ,malayalam
456,dinagalu kelasa maduttideyo ,kannada
457,very nice is ,hindi
458,to call a ,english
459,cesadu.  jun ,telugu
460,pinnalil avarai oru ,tamil
461,enna vastranirm'mana srnkhalayute ,malayalam
462,athava kelasa maduttillavo ,kannada
463,key field be ,hindi
464,meeting of all ,english
465, na atanu ,telugu
466,maperum araciyal caktiyaka ,tamil
467,utamasthanancenneeyin ephsiyute saha ,malayalam
468,haudu nimage tilidiruva ,kannada
469,achieved even though ,hindi
470,his friends friends ,english
471,mumbayi loni bandra ,telugu
472,uruvakka utaviyatu. ankulla ,tamil
473,utamasthanuman ogasrr nan ,malayalam
474,sakti enu endu ,kannada
475,it's not like ,hindi
476,i have gathered ,english
477,pradesanlo gala tana ,telugu
478,nattal natal makanattin ,tamil
479,em‌es dheani antarastra ,malayalam
480,nimage tilidide nantara ,kannada
481,thank you you ,hindi
482,you for a ,english
483,svagrhanlo tudi svasa ,telugu
484,tarpa ankirunta ankileya ,tamil
485,krikkarril ninn viramikkal ,malayalam
486,nivu munde hoguttiri ,kannada
487,can say one ,hindi
488,reason today while ,english
489,vadiladu . siling ,telugu
490,atikariyitam erpatta ciriya ,tamil
491,prakhyapiccat hardik pantya ,malayalam
492,endu yocisuvudilla sum'mane ,kannada
493,hour material have ,hindi
494,walking through the ,english
495,phyan ku uri ,telugu
496,takararal ivvelaiyum pariponatu. ,tamil
497,vikkipidiya oru svatantra ,malayalam
498,kul agiri haudu ,kannada
499,micro fiber use ,hindi
500,forest i kept ,english
501,vesukoni balavanmarananiki palpaddadu ,telugu
502,iccamayattil iccamayam tennappirikkavil ,tamil
503,vijnanakeasam jump to ,malayalam
504,adare citrada sariyada ,kannada
505,of micro fiber ,hindi
506,wondering we have ,english
507,annade modati nundi ,telugu
508,ankileyar atciyil niraveriyum ,tamil
509,navigationjump to search ,malayalam
510,saktigalu yavude nijavada ,kannada
511,nylon best material ,hindi
512,eyes nose ears ,english
513,sarvatra kaligina abhiprayam ,telugu
514,inappakupatum mikuntu iruntatu. ,tamil
515,intyan inrarnasanal krikkarrile ,malayalam
516,nata endu nimage ,kannada
517,coating but high ,hindi
518,teeth legs all ,english
519,. adhikarika postumartam ,telugu
520,ituvarai araciyal itupatillatu ,tamil
521,olrantar aya hardik ,malayalam
522,tilidide endu nimage ,kannada
523,grade quality only ,hindi
524,for some reason ,english
525,nivedikalu kuda upiri ,telugu
526,tannaiyum tan kutumpattaiyum ,tamil
527,himansu pantya  ,malayalam
528,tilidiruva arthadalli gamanisi ,kannada
529,can i have ,hindi
530,but why why ,english
531,andakane pranalu kolpovadam ,telugu
532,mattume kavanittu vanta ,tamil
533,okteabar  n ,malayalam
534,citravu karyanirvahisuttideye athava ,kannada
535,the petrol say ,hindi
536,do we need ,english
537,jarigindi ani nirdharincayi. ,telugu
538,ilainarayiruntar kanti. tennappirikkavil ,tamil
539,gujarattile surarril janiccu ,malayalam
540,illave embudannu nivu ,kannada
541,no correct it ,hindi
542,detail its a ,english
543,palu pukarlu anumanala ,telugu
544,avarukkerpatta anupavankal pinnalil ,tamil
545,intyan primiyar ligil ,malayalam
546,anubhavisabahudu nanu adannu ,kannada
547,is not environmentally ,hindi
548,useless thing and ,english
549,madhya mumbayi polisu ,telugu
550,avarai oru maperum ,tamil
551,mumbai intyansinuventi kalikkalattilirannunna ,malayalam
552,saripadisabahude illa nanu ,kannada
553,friendly it's not ,hindi
554,keeps bothering us ,english
555,vibhagam i hathanmarananni ,telugu
556,araciyal caktiyaka uruvakka ,tamil
557,hardik pantya oru ,malayalam
558,sadhyavilla ekendare nanu ,kannada
559,we are not ,hindi
560,for some reason ,english
561,daryaptu ceyadam prarambhincindi ,telugu
562, utaviyatu. ankulla ,tamil
563,rairr handad‌ barr‌smanum ,malayalam
564,nambuttene nanna ditektar‌galu ,kannada
565,calling shoes environmental ,hindi
566,or the other ,english
567,. yutyub anedi ,telugu
568,nattal natal makanattin ,tamil
569,rairr am midiyam ,malayalam
570,nanu philm‌na saktiyannu ,kannada
571,friendly but leather ,hindi
572,it either gets ,english
573,antarjalanlo vidiyolanu itarulato ,telugu
574,tarpan durban nakaril ,tamil
575,phasrr balarum kuteyan ,malayalam
576,heluttiddene addarinda nivu ,kannada
577,free samaj par ,hindi
578,in wear for ,english
579,pancukovadani vilukalpince oka ,telugu
580,ulla nitimanrattil orunal ,tamil
581,adya varsannal tanre ,malayalam
582,hintirugi sari endu ,kannada
583,kya motivation iisc ,hindi
584,sitting or when ,english
585,antarjatiya seva. dini ,telugu
586,intiya valakkappati talaippakai ,tamil
587,makan krikkarrineatulla pranayam ,malayalam
588,heluva arthadalli nivu ,kannada
589,aapne kyu ye ,hindi
590,kept outside is ,english
591,pradhana karyalayam amerikaloni ,telugu
592,anintu valakkataccenra kantiyitam ,tamil
593,tiriccarinnu surarrile tanre ,malayalam
594,phiksing maduttiddiri endu ,kannada
595,gaane shuru kiya ,hindi
596,left for someone ,english
597,kaliphorniya rastram san ,telugu
598,attalaippakaiyai vilakkumaru nitimanrattin ,tamil
599,ceriya kar phinans ,malayalam
600,nanu nirnayisiddene idu ,kannada
601,leather replace kare ,hindi
602,to trip over ,english
603,bruno ane nagaranlo ,telugu
604,nitipati uttaravittar. kantiyo ,tamil
605,bisinas's vadeadarayilekk marrukayayirunnu ,malayalam
606,sariyada ritiya skript ,kannada
607,ke wo bhi ,hindi
608,so after dipak ,english
609,undi. dinni mottamodati ,telugu
610,ivvuttaravai etirkkum poruttu ,tamil
611,addehattinre pitav himansu ,malayalam
612,agideye addarinda a ,kannada
613,ek nani ko ,hindi
614,i cut off ,english
615,sariga va sanvatsaram ,telugu
616,nitimanrattai vittu utane ,tamil
617,pantya ann hardik ,malayalam
618,saktigalu sambhavisuttave endu ,kannada
619,friendly material basically ,hindi
620,my tail and ,english
621,phibravari nelalo cad ,telugu
622,veliyerinar. pirakoru nal ,tamil
623,pantyak  vayas's ,malayalam
624,nimage tilidide adu ,kannada
625,jain family brought ,hindi
626,want you to ,english
627,harli stiv cen ,telugu
628,pirittoriya pretoria celvatarkaka ,tamil
629,matramayirunnu prayam vadeadarayile ,malayalam
630,kevala nim'madalla mattu ,kannada
631,up or himself ,hindi
632,do the same ,english
633,javed karim ane ,telugu
634,takunta payanaccittutan totaruntil ,tamil
635,meccappetta krikkarr‌ sanvidhanannalum ,malayalam
636,"set‌nalliruva yasasvi citra, ",kannada
637,just a values ,hindi
638,it feels a ,english
639,mugguru pepal sanstha ,telugu
640,mutal vakuppup  ,tamil
641,sakaryannalum hardik pantyaye ,malayalam
642,nanu adannu vivarisalu ,kannada
643,inculcate hai aur ,hindi
644,great without that ,english
645,maji udyogulu prarambhincaru. ,telugu
646,pettiyil payanam ceyta ,tamil
647,nalla oru krikkarr‌r ,malayalam
648,sadhyavilla endu nimage ,kannada
649,waise hi jaise ,hindi
650,useless thing the ,english
651,navambaru lo gugul ,telugu
652,kanti avar oru ,tamil
653,akkittanne valarttiyetuttusaheadaran krnal ,malayalam
654,tilidide adare adu ,kannada
655,bade hote gay ,hindi
656,scope of fox ,english
657,sanstha dinni . ,telugu
658,vellaiyar illai enra ,tamil
659,pantyayum addehattineateappam vadeadarayile ,malayalam
660,nimage tilidide addarinda ,kannada
661,college gay college ,hindi
662,kept looking at ,english
663,biliyan dalarlaku konugolu ,telugu
664,karanattirkaka ankileya atikari ,tamil
665,kiran mearkrikkarr‌ akkadamiyil ,malayalam
666,nivu patrakkagi tayari ,kannada
667,campus jobs arupadai ,hindi
668,the fox in ,english
669,cesindi. appati nunci ,telugu
670,oruvaral pietermaritzburg totaruntu ,tamil
671,cernnirunnu svabhavariti tan ,malayalam
672,maduvaga nivu patravannu ,kannada
673,formal shoes or ,hindi
674,amazement as to ,english
675,idi gugul upasansthaga ,telugu
676,nilaiyattil pettiyiliruntu tukki ,tamil
677,sansthana grupp‌ timil ,malayalam
678,estu ettarakke taruttiri ,kannada
679,belts pinaki tab ,hindi
680,what he was ,english
681,panicestu vastondi. andubatulo ,telugu
682,eriyappattar. vellaiyar allata ,tamil
683,ninnum tanre svabhavaparamaya ,malayalam
684,embudara kuritu nivu ,kannada
685,realise hua ki ,hindi
686,saying it's true ,english
687,unna kantent: vidiyo ,telugu
688,ore karanattal itu ,tamil
689,prasnannalal purantallappettittuntayirunnu enn ,malayalam
690,ondu ritiya yojane ,kannada
691,hum kya pane ,hindi
692,but nobody has ,english
693,kliplu tv so ,telugu
694,ponru pala innalkalai ,tamil
695,intyan ekspras's‌ n ,malayalam
696,hakuttira nim'ma tayari ,kannada
697,ray actually is ,hindi
698,really thought about ,english
699,kliplu myujik vidiyolu ,telugu
700,kanti anupavittar. itan ,tamil
701,keatutta abhimukhattil vyaktamakkiyirunnu ,malayalam
702,enu endu nanu ,kannada
703,kyc hamaare i ,hindi
704,them without the ,english
705,cinna dakyumentari philmlu ,telugu
706,mulam tennappirikkavin karuppina ,tamil
707,ateateappam tanne tan ,malayalam
708,prayatnisuttene tumba saralavagi ,kannada
709,thought tochi ek ,hindi
710,dell its surely ,english
711,adiyo rikardinglu muvi ,telugu
712,makkalum anke kutiyeriya ,tamil
713,tanre maneavikarannal mutivekkan ,malayalam
714,helabekendare nanu katheyannu ,kannada
715,aisa brand ek ,hindi
716,would be painful ,english
717,trailars pratyaksa prasaralu ,telugu
718,intiyarkalum patum innalkalai ,tamil
719,isttappetunna oralalla ennum ,malayalam
720,oke madida nantara ,kannada
721,aisa product create ,hindi
722,to do that ,english
723,vidiyo blaging vidyasambandhita ,telugu
724,kanti nankunarntar. tennappirikkavil ,tamil
725,hardik kutticcerttu deamasrrik ,malayalam
726,nanu nirdesakarannu anusarisuttene ,kannada
727,kiya jaye jo ,hindi
728,meanwhile a young ,english
729,vidiyolu vanti itara ,telugu
730,kanti  tanatu ,tamil
731,kariyar  vare ,malayalam
732,om'me nanu prajekt ,kannada
733,leather jaise dikhta ,hindi
734,age child fox ,english
735,kantentnu kaligi undi. ,telugu
736,oppantakkalam mutivataintu intiya ,tamil
737,bareada krikkarr‌ timil ,malayalam
738,annu oke maduttene ,kannada
739,feel cortana attributes ,hindi
740,jumped onto the ,english
741,indulo namodaina sabhyulu ,telugu
742,tirumpa kanti tayaranapotu ,tamil
743,tanre sannidhyam ariyicca ,malayalam
744,nanu nanna nirdesakarannu ,kannada
745,be leather jio ,hindi
746,higher place and ,english
747,tama vidiyolanu aparimita ,telugu
748,ankulla intiyarin vakkurimai ,tamil
749,pantya  le ,malayalam
750,kurudagi anusarisuttene nanu ,kannada
751,but animal skin ,hindi
752,addressed this kalak ,english
753,sankhyalo ekkincavaccu. vere ,telugu
754,yaip parikkum tirmanattai ,tamil
755,said mustakh ali ,malayalam
756,yavagalu adannu madiddene ,kannada
757,now ye kitne ,hindi
758,are you saying ,english
759,vallu ekkincina vidiyolu ,telugu
760,nattal cattapperavai iyarra ,tamil
761,kiritam bareadak netikkeatukkunnatil ,malayalam
762,mattu a ritiyalli ,kannada
763,ka pattha 4501 ,hindi
764,this because you ,english
765,cudavaccu. itarulato pancukovaccu. ,telugu
766,iruppataka ceytittalil patittarintar. ,tamil
767,nirnayaka pank vahiccu ,malayalam
768,prati citravu nanu ,kannada
769,pair to pankajan ,hindi
770,no longer have ,english
771,ret ceyavaccu. istamaina ,telugu
772,itai etirkkumaru kanti ,tamil
773, le ai ,malayalam
774,adannu madiddene mattu ,kannada
775,welcome to short ,hindi
776,a beautiful fairy ,english
777,vidiyolanu jabitaga tayaru ,telugu
778,avaratu intiya nanparkalita ,tamil
779,pi l l ,malayalam
780,hagagi nanu adannu ,kannada
781,time thank you ,hindi
782,tale here you ,english
783,cesukovaccu. verevarini anusarincavaccu. ,telugu
784,kantiyin utaviyai natinar. ,tamil
